Plot,Subplot,Sort Date,Species,Dried Wt,Bag Wt ,Biomass Wt,Notes,Tare (L),Tare (S)
11,2,"July 5, 2018",Artemisia absinthium,17.8,7,,,,
11,2,"July 5, 2018",Cirsium arvense,7.16,4.6,,,,
11,2,"July 5, 2018",Heliopsis helianthoides,2.95,2.77,,,,
11,2,"July 5, 2018",Litter,96.2,10.2,,,,
11,2,"July 5, 2018",Monarda fistulosa,8.77,4.6,,,,
11,2,"July 5, 2018",Viola sp.,2.96,2.77,,,,
11,3,"July 12, 2018",Andropogon gerardii,25.6,7,,,,
11,3,"July 12, 2018",Artemisia absinthium,11.9,7,,,,
11,3,"July 12, 2018",Carex sp.,8.4,7,,,,
11,3,"July 12, 2018",Cirsium arvense,8.7,7,,,,
11,3,"July 12, 2018",Elymus sp.,7.9,7,,,,
11,3,"July 12, 2018",Litter,119.3,10.2,,,,
11,3,"July 12, 2018",Monarda fistulosa,12,7,,,,
11,3,"July 12, 2018",Taraxacum officinale,4.96,4.6,,,,
12,1,"July 16, 2018",Bromus inermis,14.6,7,,,,
12,1,"July 16, 2018",Litter,44.2,7,,,,
12,1,"July 16, 2018",Prunus virginiana,4.89,4.6,,,,
12,1,"July 16, 2018",Schizachyrium scoparium,7.03,4.6,,,,
12,2,"July 16, 2018",Bromus inermis,19.5,7,,,,
12,2,"July 16, 2018",Litter,54.6,7,,,,
12,2,"July 16, 2018",Parthenocissus quinquefolia,5.02,4.6,,,,
12,2,"July 16, 2018",Schizachyrium scoparium,10.2,7,,,,
12,3,"July 16, 2018",Bromus inermis,7.56,2.77,,,,
12,3,"July 16, 2018",Litter,58.3,7,,,,
12,3,"July 16, 2018",Parthenocissus quinquefolia,2.95,2.77,,,,
12,3,"July 16, 2018",Poa pratensis,3.63,2.77,,,,
12,3,"July 16, 2018",Unknown,2.76,2.77,,forb,,
13,1,"July 16, 2018",Asclepias sp.,8.69,4.6,,,,
13,1,"July 16, 2018",Bromus inermis,7.08,2.77,,,,
13,1,"July 16, 2018",Galium sp.,2.76,2.77,,,,
13,1,"July 16, 2018",Litter,52.8,7,,,,
13,1,"July 16, 2018",Poa pratensis,12.95,4.6,,,,
13,1,"July 16, 2018",Symphoricarpos sp.,22.8,7,,,,
13,1,"July 16, 2018",Toxicodendron radicans,7.12,4.6,,,,
13,1,"July 16, 2018",Unknown,2.77,2.77,,forb,,
13,1,"July 16, 2018",Unknown (2),2.85,2.77,,forb,,
13,2,"July 16, 2018",Asclepias sp.,4.88,4.6,,,,
13,2,"July 16, 2018",Bromus inermis,4.72,4.6,,,,
13,2,"July 16, 2018",Litter,76.7,7,,,,
13,2,"July 16, 2018",Symphoricarpos sp.,19.5,7,,,,
13,2,"July 16, 2018",Unknown,2.75,2.77,,forb,,
13,3,"July 13, 2018",Bromus inermis,8.39,4.6,,,,
13,3,"July 13, 2018",Litter,47.4,7,,,,
13,3,"July 13, 2018",Poa pratensis,9.28,4.6,,,,
13,3,"July 13, 2018",Symphoricarpos occicentalis,20.2,7,,,,
14,1,"July 10, 2018",Bouteloua curtipendula,4.98,4.6,,,,
14,1,"July 10, 2018",Carex sp.,4.77,4.6,,,,
14,1,"July 10, 2018",Elymus sp.,5.2,4.6,,,,
14,1,"July 10, 2018",Heliopsis helianthoides,4.2,4.6,,,,
14,1,"July 10, 2018",Liatris sp.,4.74,4.6,,,,
14,1,"July 10, 2018",Litter,47.3,10.2,,,,
14,1,"July 10, 2018",Poa pratensis,18.1,7,,,,
14,1,"July 10, 2018",Taraxacum officinale,4.54,4.6,,,,
14,1,"July 10, 2018",Viola nuttallii,4.74,4.6,,,,
14,1,"July 10, 2018",Viola sp.,4.6,4.6,,,,
14,2,"July 10, 2018",Poa pratensis,18.1,7,,,,
14,3,"July 10, 2018",Bromus inermis,11.97,4.6,,,,
14,3,"July 10, 2018",Chenopodium album,2.77,2.77,,,,
14,3,"July 10, 2018",Cirsium arvense,2.78,2.77,,,,
14,3,"July 10, 2018",Elymus sp.,3,2.77,,,,
14,3,"July 10, 2018",Heliopsis helianthoides,4.69,4.6,,,,
14,3,"July 10, 2018",Litter,71.7,7,,,,
14,3,"July 10, 2018",Poa pratensis,5.98,4.6,,,,
14,3,"July 10, 2018",Serencio sp. ,5.78,4.6,,Ragwort,,
14,3,"July 10, 2018",Solidago sp.,5.68,4.6,,,,
14,3,"July 10, 2018",Solidago sp. (2),5.41,4.6,,,,
14,3,"July 10, 2018",Taraxacum officinale,2.81,2.77,,,,
14,3,"July 10, 2018",Trifolium sp.,2.81,2.77,,,,
14,3,"July 10, 2018",Unknown,2.78,2.77,,forb,,
14,3,"July 10, 2018",Unknown (2),2.81,2.77,,forb,,
15,1,"July 2, 2018",Andropogon gerardii,20,7,,,,
15,1,"July 2, 2018",Litter,168.8,10.2,,,,
15,1,"July 2, 2018",Poa pratensis,4.02,2.77,,,,
15,2,"July 10, 2018",Andropogon gerardii,27.4,7,,,,
15,2,"July 10, 2018",Litter,117.2,10.2,,,,
15,3,"July 10, 2018",Andropogon gerardii,7.38,4.6,,,,
15,3,"July 10, 2018",Bouteloua curtipendula,5.38,4.6,,,,
15,3,"July 10, 2018",Bromus inermis,45.7,7,,,,
15,3,"July 10, 2018",Litter,98.6,10.2,,,,
15,3,"July 10, 2018",Toxicodendron radicans,6.55,4.6,,,,
16,1,"July 16, 2018",Andropogon gerardii,16.8,7,,,,
16,1,"July 16, 2018",Litter,118.3,10.2,,,,
16,1,"July 16, 2018",Monarda fistulosa,9.84,4.6,,,,
16,2,"July 12, 2018",Andropogon gerardii,11.66,4.6,,,,
16,2,"July 12, 2018",Heliopsis helianthoides,6.26,4.6,,,,
16,2,"July 12, 2018",Litter,138.7,10.2,,,,
16,2,"July 12, 2018",Schizachyrium scoparium,4.38,2.77,,,,
16,3,"July 16, 2018",Andropogon gerardii,10.56,4.6,,,,
16,3,"July 16, 2018",Litter,107.3,10.2,,,,
17,1,"July 10, 2018",Bromus inermis,27.6,7,,,,
17,1,"July 10, 2018",Elymus sp.,4.76,4.6,,,,
17,1,"July 10, 2018",Litter,41.7,7,,,,
17,1,"July 10, 2018",Poa pratensis,8.44,4.6,,,,
17,2,"July 5, 2018",Bromus inermis,23.2,7,,,,
17,2,"July 5, 2018",Hypericum sp.,2.85,2.77,,,,
17,2,"July 5, 2018",Hypericum sp. (2),2.86,2.77,,,,
17,2,"July 5, 2018",Litter,25.7,7,,,,
17,2,"July 5, 2018",Poa pratensis,11.8,4.6,,,,
17,3,"July 12, 2018",Bromus inermis,7.86,4.6,,,,
17,3,"July 12, 2018",Litter,37.6,7,,,,
17,3,"July 12, 2018",Malus sp.,6.14,4.6,,,,
17,3,"July 12, 2018",Poa pratensis,7.17,4.6,,,,
18,1,"July 12, 2018",Andropogon gerardii,36.4,7,,,,
18,1,"July 12, 2018",Elymus sp.,4.68,4.6,,,,
18,1,"July 12, 2018",Litter,31,7,,,,
18,2,"July 9, 2018",Andropogon gerardii,35.5,7,,,,
18,2,"July 9, 2018",Elymus sp.,3.24,2.77,,,,
18,2,"July 9, 2018",Heliopsis helianthoides,3.43,2.77,,,,
18,2,"July 9, 2018",Litter,32.9,7,,,,
18,2,"July 9, 2018",Monarda fistulosa,14.2,7,,,,
18,2,"July 9, 2018",Solidago sp.,5.07,2.77,,,,
18,3,"July 12, 2018",Andropogon gerardii,11.3,7,,,,
18,3,"July 12, 2018",Elymus sp.,4.74,4.6,,,,
18,3,"July 12, 2018",Litter,35.5,7,,,,
19,1,"July 10, 2018",Bromus inermis,30.6,7,,,,
19,1,"July 10, 2018",Hypericum sp.,4.7,4.6,,,,
19,1,"July 10, 2018",Litter,39.3,7,,,,
19,1,"July 10, 2018",Poa pratensis,17.6,7,,,,
19,2,"July 10, 2018",Bromus inermis,14.71,4.6,,,,
19,2,"July 10, 2018",Carex sp.,6.53,4.6,,,,
19,2,"July 10, 2018",Litter,73.6,10.2,,,,
19,2,"July 10, 2018",Poa pratensis,17.6,7,,,,
19,3,"July 11, 2018",Bromus inermis,25.9,7,,,,
19,3,"July 11, 2018",Cirsium sp.,4.61,4.6,,,,
19,3,"July 11, 2018",Hypercium perforatum,4.75,4.6,,,,
19,3,"July 11, 2018",Litter,36.5,7,,,,
19,3,"July 11, 2018",Poa pratensis,8.08,4.6,,,,
19,3,"July 11, 2018",Rudbeckia hirta,4.63,4.6,,,,
19,3,"July 11, 2018",Unknown,4.61,4.6,,forb,,
20,1,"July 11, 2018",Andropogon gerardii,16.9,7,,,,
20,1,"July 11, 2018",Litter,85.7,10.2,,,,
20,1,"July 11, 2018",Poa pratensis,6.98,4.6,,,,
20,1,"July 11, 2018",Schizachyrium scrophulariifolia,5.32,4.6,,,,
20,1,"July 11, 2018",Taraxacum officinale,4.46,4.6,,,,
20,2,"July 10, 2018",Andropogon gerardii,19.6,7,,,,
20,2,"July 10, 2018",Litter,124.6,10.2,,,,
20,3,"July 2, 2018",Andropogon gerardii,26.2,7,,,,
20,3,"July 2, 2018",Litter,123.6,10.2,,,,
20,3,"July 2, 2018",Schizachyrium scoparium,4.46,2.77,,,,
21,1,"July 11, 2018",Andropogon gerardii,23.2,7,,,,
21,1,"July 11, 2018",Dalea purpura,5.93,4.6,,,,
21,1,"July 11, 2018",Elymus sp.,4.87,4.6,,,,
21,1,"July 11, 2018",Heliopsis helianthoides,4.53,4.6,,,,
21,1,"July 11, 2018",Litter,11.91,4.6,,,,
21,1,"July 11, 2018",Trifolium sp.,4.84,4.6,,,,
21,2,"July 12, 2018",Andropogon gerardii,14.3,7,,,,
21,2,"July 12, 2018",Litter,6.3,4.6,,,,
21,2,"July 12, 2018",Phalaris arundinacea,8.19,4.6,,,,
21,3,"July 9, 2018",Elymus sp.,3.09,2.77,,,,
21,3,"July 9, 2018",Litter,9.82,4.6,,,,
21,3,"July 9, 2018",Schizachyrium scoparium,5.55,4.6,,,,
21,3,"July 9, 2018",Unknown,2.79,2.77,,forb,,
22,1,"July 9, 2018",Litter,82.4,7,,,,
22,1,"July 9, 2018",Unknown,2.83,2.77,,Forb,,
22,2,"July 9, 2018",Litter,190.3,10.2,,,,
22,2,"July 9, 2018",Viburnum sp.,2.83,2.77,,,,
22,2,"July 9, 2018",Viola sp.,2.82,2.77,,,,
22,3,"July 11, 2018",Acer rubrum,4.72,4.6,,seedling,,
22,3,"July 11, 2018",Galium asperellum,4.54,4.6,,,,
22,3,"July 11, 2018",Litter,60.6,7,,,,
22,3,"July 11, 2018",Unknown,4.51,4.6,,forbs,,
23,1,"July 10, 2018",Achillia millefolium,6.6,4.6,,,,
23,1,"July 10, 2018",Artemisia absinthium,4.61,4.6,,,,
23,1,"July 10, 2018",Bouteloua curtipendula,20.4,7,,,,
23,1,"July 10, 2018",Elymus sp.,6.78,4.6,,,,
23,1,"July 10, 2018",Litter,9.67,4.6,,,,
23,1,"July 10, 2018",Rudbeckia hirta,5.41,4.6,,,,
23,1,"July 10, 2018",Schizachyrium scoparium,11.19,4.6,,,,
23,1,"July 10, 2018",Taraxacum officinale,6.96,4.6,,,,
23,2,"July 11, 2018",Achillia millefolium,5.31,4.6,,,,
23,2,"July 11, 2018",Ambrosa sp.,4.65,4.6,,,,
23,2,"July 11, 2018",Bouteloua curtipendula,7.45,4.6,,,,
23,2,"July 11, 2018",Elymus sp.,5.99,4.6,,,,
23,2,"July 11, 2018",Litter,9.4,4.6,,,,
23,2,"July 11, 2018",Ratibita pinnata,22.8,7,,,,
23,2,"July 11, 2018",Rudbeckia hirta,7.6,4.6,,,,
23,2,"July 11, 2018",Schizachyrium scoparium,7.1,4.6,,,,
23,3,"July 10, 2018",Bouteloua curtipendula,33.4,7,,,,
23,3,"July 10, 2018",Cirsium arvense,4.87,2.77,,,,
23,3,"July 10, 2018",Elymus sp.,10.57,4.6,,,,
23,3,"July 10, 2018",Litter,11.73,4.6,,,,
24,1,"July 9, 2018",Agastache scophulariifolia,24,7,,,,
24,1,"July 9, 2018",Andropogon gerardii,6.06,4.6,,,,
24,1,"July 10, 2018",Chenopodium album,3.16,2.77,,,,
24,1,"July 10, 2018",Geum macrophyllum,2.73,2.77,,,,
24,1,"July 9, 2018",Litter,15.58,4.6,,,,
24,1,"July 10, 2018",Unknown,2.74,2.77,,Forb,,
24,2,"July 10, 2018",Andropogon gerardii,2.92,2.77,,,,
24,2,"July 10, 2018",Cardus acanthoides,8.45,4.6,,,,
24,2,"July 10, 2018",Chenopodium album,2.91,2.77,,,,
24,2,"July 10, 2018",Elymus sp.,2.92,2.77,,,,
24,2,"July 10, 2018",Litter,5.65,4.6,,,,
24,2,"July 10, 2018",Rudbeckia hirta,2.9,2.77,,,,
24,2,"July 10, 2018",Schizachyrium scoparium,9.71,4.6,,,,
24,2,"July 10, 2018",Taraxacum officinale,7.64,4.6,,,,
24,3,"July 10, 2018",Achillia millefolium,6.73,4.6,,,,
24,3,"July 10, 2018",Andropogon gerardii,5.53,4.6,,,,
24,3,"July 10, 2018",Bouteloua curtipendula,25.3,7,,,,
24,3,"July 10, 2018",Chenopodium album,2.84,2.77,,,,
24,3,"July 10, 2018",Cirsium arvense,6.5,4.6,,,,
24,3,"July 10, 2018",Elymus sp.,2.87,2.77,,,,
24,3,"July 10, 2018",Litter,5.38,2.77,,,,
24,3,"July 10, 2018",Ratibita pinnata,2.89,2.77,,,,
24,3,"July 10, 2018",Rudbeckia hirta,2.85,2.77,,,,
25,1,"July 11, 2018",Achillia millefolium,12.9,7,,,,
25,1,"July 11, 2018",Bouteloua curtipendula,20.9,7,,,,
25,1,"July 11, 2018",Elymus sp.,9.12,4.6,,,,
25,1,"July 11, 2018",Litter,8.16,4.6,,,,
25,1,"July 11, 2018",Rudbeckia hirta,6.45,4.6,,,,
25,1,"July 11, 2018",Schizachyrium scoparium,10.54,4.6,,,,
25,2,"July 11, 2018",Achillia millefolium,5.53,4.6,,,,
25,2,"July 11, 2018",Agastache scophulariifolia,4.57,4.6,,,,
25,2,"July 11, 2018",Artemisia absinthium,4.65,4.6,,,,
25,2,"July 11, 2018",Bouteloua curtipendula,23.8,7,,,,
25,2,"July 11, 2018",Elymus sp.,4.73,4.6,,,,
25,2,"July 11, 2018",Hypercium perforatum,4.63,4.6,,,,
25,2,"July 11, 2018",Litter,13.08,4.6,,,,
25,2,"July 11, 2018",Rudbeckia hirta,4.62,4.6,,,,
25,2,"July 11, 2018",Schizachyrium scoparium,9.31,4.6,,,,
25,2,"July 11, 2018",Taraxacum officinale,5.89,4.6,,,,
25,2,"July 11, 2018",Toxicodendron radicans,5.23,4.6,,,,
25,3,"July 10, 2018",Achillia millefolium,3.54,2.77,,,,
25,3,"July 10, 2018",Agastache scophulariifolia,17.9,7,,,,
25,3,"July 10, 2018",Bouteloua curtipendula,7.22,4.6,,,,
25,3,"July 10, 2018",Litter,3.07,2.77,,,,
25,3,"July 10, 2018",Monarda fistulosa,8.14,4.6,,,,
25,3,"July 10, 2018",Ratibita pinnata,19.6,7,,,,
25,3,"July 10, 2018",Rudbeckia hirta,2.79,2.77,,,,
25,3,"July 10, 2018",Taraxacum officinale,6.62,4.6,,,,
26,1,"July 9, 2018",Carex sp.,3.2,2.77,,,,
26,1,"July 9, 2018",Litter,68.9,10.2,,,,
26,1,"July 9, 2018",Polygonatum sp.,2.97,2.77,,,,
26,1,"July 9, 2018",Prunus nigra,3.64,2.77,,,,
26,1,"July 9, 2018",Prunus virginiana,3.04,2.77,,,,
26,1,"July 9, 2018",Rhamnus cathartica,2.96,2.77,,,,
26,1,"July 9, 2018",Thalictrum sp.,3.03,2.77,,,,
26,2,"July 2, 2018",Carex sp.,3.31,2.77,,,,
26,2,"July 2, 2018",Litter,61.4,10.2,,,,
26,2,"July 2, 2018",Polygonatum pubescens,3.07,2.77,,,,
26,2,"July 2, 2018",Rhamnus cathartica,34.4,10.2,,,,
26,2,"July 9, 2018",Unknown,2.82,2.77,,Woody seedling,,
26,2,"July 5, 2018",Viola sp.,2.84,2.77,,,,
26,2,"July 2, 2018",Zizia aurea,5.57,4.6,,,,
26,3,"July 11, 2018",Acer negundo,4.58,4.6,,,,
26,3,"July 11, 2018",Carex sp.,4.81,4.6,,,,
26,3,"July 11, 2018",Litter,34.6,7,,,,
26,3,"July 11, 2018",Parthenocissus quinquefolia,5.12,4.6,,,,
26,3,"July 11, 2018",Polygonatum sp.,4.65,4.6,,,,
26,3,"July 11, 2018",Rhamnus cathartica,11.59,4.6,,,,
26,3,"July 11, 2018",Thalictrum sp.,4.54,4.6,,,,
26,3,"July 11, 2018",Unknown,4.61,4.6,,forb,,
27,1,"July 9, 2018",Achillia millefolium,12.6,7,,,,
27,1,"July 9, 2018",Ratibita pinnata,22.9,7,,,,
27,1,"July 9, 2018",Rudbeckia hirta,2.91,2.77,,,,
